Model,MAE,RMSE,MAPE (%)
SARIMA,19244.48534520369,19950.07042110583,20.526431988168135
Prophet,20250.794412605523,22318.41133286054,21.86462827396082
XGBoost,17802.7090625,23952.970522567746,17.003262120258402
