,Forecast,Lower CI,Upper CI
2018-10-31,60331.792072703916,33867.66388179665,86795.92026361119
2018-11-30,91458.2202273551,64294.739759675474,118621.70069503471
2018-12-31,97167.57093567008,69727.82858034736,124607.31329099281
